s.no,borrower,financial dob,nonfinancial dob,annual_income,profession,marital status,institute_name,course_name,loan amount,course_cost,dpd_days,current_status,current city,current state,current pincode,permanent city,permanent state,interest rate,enach activated,imdb success,protection_type_name,cibilscore,lender_name,company name,disbursal date,work experience,loan category,loan type,sector,residence type,tenure,emi_amount
538,Jennifer Tyler PhD,1977-03-13,1972-12-27,75014,Petroleum engineer,Divorced,Turner-Porter,tough,43548,16501,78,Fully Disbursed,New Natalie,Washington,37729,New Jill,Texas,13.97,False,Yes,hear,300,"Bradford, Kane and Gonzales","Gutierrez, Ward and Moore",1990-09-15,19,Education loan,School Education,goal,Rented,23,1553
539,Jeremy Yates,1973-03-25,1976-07-01,166041,Theatre director,Married,Garrett-Fernandez,central,39924,27557,294,Fully Disbursed,Fitzpatrickborough,Massachusetts,78104,Ortizberg,Pennsylvania,11.21,True,No,door,410,"Dennis, Rice and Murphy",Mcclain LLC,1988-05-19,36,Education loan,Certification,occur,Rented,10,3204
540,Paul Stevenson,2005-05-31,1969-08-13,20424,Dealer,Single,Deleon-Armstrong,last,23003,23521,90,EMI Running,Port Chelseastad,West Virginia,18900,Susanton,Washington,18.64,True,No,individual,323,Deleon Ltd,Johnson PLC,2021-02-26,40,Education loan,School Education,increase,Rented,13,1214
541,Haley Davis,1986-12-14,1968-11-30,110925,"Surveyor, rural practice",Single,Vaughan PLC,one,15802,36557,313,Fully Disbursed,North Dylan,Massachusetts,13785,Brandonfurt,South Dakota,10.22,True,Yes,degree,481,Zimmerman-Miles,"Hartman, Cox and Daniels",1991-07-05,25,Education loan,Certification,rate,Owned,8,1137
542,Lorraine Cook,1975-08-18,1978-03-24,155108,Media planner,Married,Benson-Jones,hotel,21342,9556,65,EMI Running,East Kyle,Connecticut,19179,Youngton,Montana,17.62,False,Yes,contain,801,Edwards Inc,"Jackson, Allen and Johnson",1971-07-09,19,Education loan,Certification,much,Rented,25,3382
543,Aaron Rogers,1973-11-15,1994-04-20,180511,Interior and spatial designer,Married,Walker PLC,turn,39203,5199,8,Fully Disbursed,South Kevinbury,Wyoming,84810,Manuelmouth,Connecticut,19.56,True,Yes,feeling,397,"Williams, Carroll and Wilson","Richards, Jones and Brown",1973-02-07,28,Education loan,Certification,give,Owned,24,4154
544,Abigail Johnson,1968-07-23,2005-11-02,195675,Agricultural consultant,Married,"Trevino, Young and Benjamin",itself,12017,39017,121,Fully Disbursed,Amychester,Illinois,19898,Sandersberg,Rhode Island,10.06,False,No,structure,465,Ford PLC,"Ramirez, Jones and Davis",1973-12-25,33,Education loan,College education,day,Owned,22,2628
545,Troy Fox,1978-07-02,1972-01-28,149896,Advertising art director,Divorced,"Norris, Reyes and Chan",stop,17834,18576,287,EMI Running,Gregoryshire,Mississippi,09965,Lake Jeffreymouth,Nevada,10.62,True,Yes,claim,453,Peters Group,"Bray, Walker and Harper",2021-04-03,32,Education loan,School Education,task,Owned,15,4379
546,Manuel Allison,1982-01-14,1964-11-16,169546,"Education officer, community",Single,"Garcia, Wong and Parker",so,10381,14958,363,Fully Disbursed,Lake Jamie,Rhode Island,10358,South Cody,North Carolina,10.4,False,Yes,during,415,Kirby-Cantu,Horton Group,2005-10-13,3,Education loan,Certification,picture,Owned,6,4591
547,Pedro Mendoza,1984-06-01,2001-07-31,172579,Financial controller,Married,Hamilton-Schneider,attention,20450,4374,324,Fully Disbursed,Maryhaven,Iowa,26509,Clintonport,Massachusetts,7.2,False,Yes,determine,785,Pope-Rowe,"Miles, Reed and Yoder",2015-09-15,30,Education loan,Certification,push,Rented,2,4015
548,Lindsey Robinson,1963-10-29,1972-12-05,56608,Dietitian,Divorced,"Alvarez, Brown and Joseph",increase,45629,22314,123,Fully Disbursed,Lake Eileen,Connecticut,03287,Washingtonton,Alaska,19.15,True,Yes,church,342,"Hayes, Wagner and Ballard",Conway Group,1970-05-31,2,Education loan,School Education,public,Rented,21,1145
549,David Wise,1960-12-23,1969-12-15,113779,Sports administrator,Divorced,Mendoza-Banks,exist,34807,26634,239,EMI Running,South Melanie,Nevada,49482,South Ericborough,Minnesota,16.41,False,Yes,herself,764,Johnson Ltd,Jackson PLC,2022-10-21,29,Education loan,Certification,white,Owned,6,1078
550,Glenda Smith,2005-12-13,1983-04-08,103226,Barrister's clerk,Married,"Flores, Caldwell and Allen",hundred,13356,24444,327,EMI Running,South Ethanborough,New York,97661,South Vickie,Montana,13.97,True,Yes,own,834,Barker-Vance,"Page, Murphy and Sims",2009-05-14,38,Education loan,Certification,measure,Rented,22,3295
551,Brittany Brown,2001-02-21,2002-04-19,195368,Manufacturing engineer,Divorced,"Hall, Mosley and Davis",free,21317,36967,164,Fully Disbursed,Jacksonbury,Kansas,72644,Port Brianside,Oregon,15.59,False,Yes,how,798,"Roberts, Johnson and Burgess",Sullivan PLC,1994-04-19,11,Education loan,School Education,late,Owned,15,4291
552,Laura Reynolds,2005-12-24,1993-11-13,93328,Magazine features editor,Divorced,Wang PLC,prove,27637,16011,297,Fully Disbursed,New Tammy,Kansas,08339,West Jennifertown,Virginia,11.57,True,Yes,catch,716,Farrell-Evans,Smith-Hale,2020-02-02,28,Education loan,College education,next,Owned,1,2501
553,Chad Watkins,1960-01-03,1998-02-18,79813,Product manager,Married,Clements-Nelson,buy,49495,35755,7,Fully Disbursed,Lake Charlestown,Georgia,90078,New Shannon,Arizona,6.25,True,Yes,body,436,Copeland LLC,Ellison Inc,1979-07-18,36,Education loan,School Education,know,Rented,14,2182
554,Andrew Nichols,1987-11-29,2004-06-10,180684,Photographer,Divorced,"Long, Lewis and Hill",fight,42169,7124,276,Fully Disbursed,Katiebury,North Carolina,98209,South Christopher,West Virginia,7.14,False,Yes,daughter,824,"Mccullough, Jenkins and Turner",Jones Ltd,2021-01-13,34,Education loan,School Education,main,Rented,6,4849
555,Bryan Clark,2005-10-28,1984-02-06,69120,Science writer,Married,"Smith, Morrison and Watkins",foot,30582,19939,90,EMI Running,Williamsport,Maine,32025,West Sarahborough,Texas,19.02,True,No,stuff,642,Bowman LLC,"Shea, Garcia and Noble",2017-09-16,38,Education loan,Certification,guy,Rented,12,2209
556,Nathaniel Livingston,1973-07-13,2000-07-01,146451,Chartered loss adjuster,Single,Garcia-Edwards,first,25115,4297,30,Fully Disbursed,Cummingsstad,Rhode Island,64597,South Shawn,Indiana,12.24,False,Yes,bad,807,"Hunter, Wood and Brewer",Arnold PLC,1977-03-16,29,Education loan,Certification,son,Owned,22,1704
557,Angel King,2005-07-25,1973-07-02,184062,"Engineer, materials",Divorced,Hall Group,current,43962,31945,45,Fully Disbursed,South Michael,Indiana,53162,Maryfort,Vermont,8.46,False,Yes,garden,651,Guzman and Sons,Campbell-Castro,1979-05-05,17,Education loan,Certification,him,Owned,10,1837
558,Andrew Castro,1960-12-12,1976-10-02,107579,Quantity surveyor,Single,Marshall Inc,task,18243,13946,87,EMI Running,Michelleport,Missouri,26176,Fieldschester,Illinois,9.1,False,Yes,stock,620,Stephenson Inc,Summers LLC,1975-05-01,19,Education loan,School Education,stand,Owned,11,3709
559,Danny Carr,1978-09-21,2000-07-25,120304,Contracting civil engineer,Divorced,Gutierrez-Russell,trade,49888,7306,45,EMI Running,Lake Elizabeth,Massachusetts,74878,Harrismouth,New Jersey,18.55,False,Yes,later,873,Bailey LLC,Woods-Roberts,1996-07-10,31,Education loan,School Education,put,Rented,18,3584
560,Catherine Kim,1993-02-03,1982-08-10,88241,Nutritional therapist,Married,Harding-Charles,high,49657,22264,126,Fully Disbursed,New Michelle,Maryland,94559,Port Rebeccaberg,South Carolina,12.26,False,Yes,soon,654,Green-Chambers,Wright-White,2003-03-03,16,Education loan,Certification,suddenly,Owned,14,1392
561,Heidi Patterson,1972-12-05,2005-04-15,49655,Freight forwarder,Divorced,Gutierrez-Rodriguez,take,5911,13726,352,EMI Running,Rodriguezstad,Oklahoma,87846,North Michaelfurt,Washington,6.58,False,Yes,instead,864,"Jones, Rogers and Gregory",Cameron-Erickson,2014-07-09,7,Education loan,School Education,suggest,Owned,4,4278
562,Keith Gordon,1964-11-26,1964-04-16,58871,Haematologist,Divorced,Wright-Martinez,here,49515,30255,93,Fully Disbursed,East Lauraborough,Utah,58333,Morrisonbury,Iowa,15.62,False,Yes,itself,572,Escobar and Sons,Madden-Cox,2018-12-09,34,Education loan,Certification,perform,Owned,1,3867
563,Sheila Oneill,1989-06-07,1992-09-27,82389,Fashion designer,Married,"Cuevas, Long and Howard",chance,16868,28425,261,Fully Disbursed,Sharonberg,Florida,94167,Port Thomas,Maryland,19.16,True,No,small,629,Duncan Inc,Brady-Cline,2007-05-23,12,Education loan,Certification,national,Rented,20,3892
564,Ms. Julie Massey,1984-11-13,1965-01-01,72816,Contractor,Single,Lee and Sons,for,29932,20596,23,EMI Running,Kimberlyview,New Hampshire,74340,Tracyport,New Hampshire,17.16,False,No,environmental,477,Stewart-Stewart,"Hammond, Herring and Camacho",1977-10-14,1,Education loan,School Education,forward,Owned,28,2048
565,Mary Sullivan,2004-10-28,1960-10-07,157082,"Accountant, chartered management",Single,"Morgan, Hester and Palmer",few,27364,21252,55,EMI Running,East Michelle,Alaska,07069,Port Madison,Michigan,5.99,True,Yes,hard,481,Guzman-King,Thomas LLC,1988-02-23,14,Education loan,Certification,deep,Owned,12,4071
566,Francisco Cunningham,1963-09-06,1980-02-13,24608,Psychotherapist,Married,Hudson LLC,character,47725,31802,284,Fully Disbursed,Bryantshire,Vermont,55120,Tamarashire,Idaho,19.07,False,No,sign,567,"Arnold, King and Thomas",Hines Ltd,2018-03-29,5,Education loan,School Education,color,Owned,4,2244
567,Bonnie Stein,1977-04-25,1986-09-28,128031,Public relations account executive,Single,"Bradley, Fernandez and Duncan",throughout,26103,32575,305,Fully Disbursed,Mooreshire,New Hampshire,24604,Wilkinsonton,Washington,18.24,True,Yes,customer,838,"Tran, Jones and Park","Jensen, Montes and Miller",1971-02-13,5,Education loan,Certification,article,Owned,15,2635
568,Jonathan Carter,1990-10-25,1994-02-17,36942,"Conservation officer, nature",Divorced,"Herrera, Brown and Morrison",how,36363,10439,227,Fully Disbursed,North Tara,South Carolina,83628,Rogersburgh,Texas,8.63,False,Yes,career,300,Dennis PLC,Hull-Wood,2011-12-24,35,Education loan,Certification,structure,Owned,25,4976
569,Terri Brown,1999-12-12,1973-11-13,35595,Camera operator,Divorced,"Parker, Rodriguez and Silva",test,38703,3466,169,Fully Disbursed,New Briannaport,Oregon,49317,North Caleb,Delaware,13.22,True,No,we,745,"Chambers, Perez and Wood",Walker and Sons,1976-12-27,7,Education loan,College education,vote,Rented,4,1256
570,Jason Drake,1967-02-26,1967-08-10,101515,"Designer, multimedia",Married,Vargas-Harmon,range,32784,30185,70,EMI Running,Port Janice,Pennsylvania,75544,Cuevaston,Minnesota,6.3,True,Yes,record,711,"York, Parker and Thomas","Patterson, Newman and Howard",2001-02-15,23,Education loan,College education,leave,Rented,27,4181
571,Sarah Vargas,1982-03-30,1964-07-30,124388,"Therapist, nutritional",Single,Fox Group,store,43489,6461,202,Fully Disbursed,Christineland,New Mexico,14774,Torreschester,Alaska,18.1,False,No,country,881,Nichols-Lambert,"Powell, Atkinson and Kramer",1996-10-18,33,Education loan,College education,physical,Owned,25,1064
572,Craig Wright,1996-01-08,1999-04-14,109031,Make,Married,Carroll Group,phone,22164,7174,125,EMI Running,North Chad,Georgia,67426,New Mindyview,Colorado,13.77,True,No,subject,439,"Olson, Rogers and Thompson",Vaughan-Carroll,1990-02-06,5,Education loan,College education,single,Rented,23,1541
573,Linda Cole,2003-01-16,2001-02-20,53847,"Therapist, horticultural",Divorced,"Espinoza, Hayes and White",light,36809,11117,316,EMI Running,Davisview,Wisconsin,77626,West Nicole,Arkansas,8.42,False,No,house,411,Wheeler-Smith,"Bates, Mitchell and Davis",1980-03-15,9,Education loan,Certification,professor,Owned,3,1086
574,Robert Armstrong,1979-06-28,1985-08-10,86322,Dietitian,Single,"Hall, Velazquez and Kelley",court,26042,36123,118,EMI Running,New Daniellefort,Colorado,27341,East Nathan,North Carolina,10.91,False,No,none,446,"Carter, Cooper and Young","Gomez, Stewart and Richmond",1970-10-29,30,Education loan,College education,executive,Rented,16,2965
575,John Nelson,1998-01-01,1983-04-14,106164,Ergonomist,Single,"Powers, Nolan and Larson",see,18091,18019,95,Fully Disbursed,Maymouth,Texas,65575,South Jamesshire,South Dakota,19.98,False,No,stage,394,Fields-Gentry,Johnson LLC,2019-12-06,2,Education loan,College education,say,Owned,8,3562
576,Christopher Bell PhD,1997-10-13,2000-02-17,183095,Cartographer,Married,Brandt-Mccoy,important,12769,38148,332,EMI Running,Port Veronica,Maine,61770,Garciabury,Vermont,7.57,False,No,interest,540,Calderon-Banks,Malone Ltd,2002-02-27,16,Education loan,College education,police,Rented,23,4742
577,Bryan Jones,2004-07-18,1981-11-13,65505,"Surveyor, land/geomatics",Single,"Pena, Ramos and Payne",under,19041,3770,190,Fully Disbursed,Thomasberg,South Carolina,27447,West Dennis,Georgia,14.55,False,Yes,mention,380,Harrison and Sons,"Foster, Torres and Boyd",2014-04-11,21,Education loan,Certification,behavior,Rented,16,1994
578,Michael Frey,1974-10-16,1981-11-05,20541,Cytogeneticist,Divorced,Simon Inc,cost,28434,12837,207,EMI Running,Johnburgh,Rhode Island,26457,Millerside,Iowa,9.33,True,Yes,traditional,877,Scott-Stone,"Roy, Tucker and Mitchell",1990-04-15,23,Education loan,School Education,soon,Owned,5,4447
579,Micheal Robinson,1975-05-29,1995-01-10,53551,Medical technical officer,Single,"Travis, Willis and Dawson",design,44990,33070,208,EMI Running,Port Rhondaburgh,California,80386,Norrishaven,Vermont,18.53,False,No,chance,472,Smith Group,"Spears, Powell and Hunt",2022-05-09,26,Education loan,College education,evidence,Owned,4,1011
580,Jason Phillips,1977-06-07,1981-07-04,106731,Advertising copywriter,Married,"Santiago, Kirby and Galloway",skin,13051,28154,279,Fully Disbursed,Lake Michael,Missouri,60242,New David,West Virginia,5.61,False,Yes,improve,394,Robertson Ltd,Robertson Group,2000-04-21,24,Education loan,College education,show,Owned,1,1304
581,Christopher Perez,1996-07-18,1992-08-12,180159,Immunologist,Married,Andrade-Medina,state,27904,18421,305,Fully Disbursed,Lake Samuel,South Dakota,98419,West Adam,South Dakota,11.13,False,Yes,board,665,Peck Group,Fisher and Sons,1975-03-07,34,Education loan,School Education,doctor,Rented,22,3241
582,Andrea Anderson,1994-05-18,1966-02-25,88704,Secretary/administrator,Single,"Buckley, Manning and Phillips",use,44913,12187,178,EMI Running,Robertside,Idaho,71849,Flemingtown,North Carolina,10.89,True,No,far,551,Wright-Kelly,"Mitchell, Mathews and Snyder",1975-02-11,4,Education loan,Certification,they,Rented,10,4820
583,Alice Stevens,1964-04-03,2000-03-31,38996,Podiatrist,Divorced,Allen-Moore,score,24930,3279,130,Fully Disbursed,Rebeccaville,New Mexico,06266,South Jacob,Missouri,7.94,False,Yes,information,437,Martin-Mclean,Clark-Watson,2013-12-25,4,Education loan,College education,entire,Owned,9,4797
584,Stacy Miller,1977-01-31,1991-11-16,89720,Learning mentor,Married,Foster-Barker,character,38967,10613,272,Fully Disbursed,Kennedyshire,Colorado,04446,Port Rachel,New Jersey,11.06,True,Yes,vote,666,"Saunders, Hart and Le","Chapman, Johnson and Roberts",1978-08-23,1,Education loan,College education,weight,Rented,11,1589
585,Justin Landry,2002-05-14,1985-12-24,182181,"Designer, ceramics/pottery",Married,"Salinas, David and Gonzalez",outside,7018,33685,114,Fully Disbursed,East Debra,Delaware,89679,South Trevorstad,Idaho,12.67,True,No,food,683,Daniels and Sons,Zimmerman Ltd,1985-08-26,11,Education loan,Certification,letter,Owned,1,3028
586,Jeff Lamb,1979-02-07,1998-05-23,166403,Plant breeder/geneticist,Single,Mitchell-Sanchez,instead,16381,3397,160,Fully Disbursed,Lake Cody,Kansas,26467,East Angela,Tennessee,14.34,True,No,effect,661,Davis-Peck,Torres and Sons,2012-07-16,25,Education loan,College education,water,Rented,24,2929
587,Douglas Morales,1959-02-22,1968-10-16,34659,Theatre stage manager,Divorced,Payne Ltd,lead,35082,29262,69,Fully Disbursed,Skinnerfort,Hawaii,12941,East Aprilberg,Oregon,9.55,False,Yes,edge,516,"Davis, Avery and Dennis",Herman-Collins,2019-04-28,37,Education loan,School Education,final,Rented,14,4454
588,Nicole King,1992-01-02,2002-11-16,118674,Set designer,Divorced,Davila-Gonzales,save,15908,35128,63,Fully Disbursed,Laurenfurt,Mississippi,59187,Jonestown,New Hampshire,11.21,False,No,spring,324,"Conley, Lee and Taylor",Tucker Ltd,1981-06-28,3,Education loan,Certification,national,Owned,22,1178
589,Chelsea Smith,1983-12-28,1966-04-21,26841,"Engineer, biomedical",Divorced,"Yu, Jackson and Diaz",few,33503,7910,25,EMI Running,Graybury,Tennessee,39346,Stephensmouth,Texas,16.38,True,Yes,herself,499,Young Ltd,Anderson PLC,1990-09-17,6,Education loan,Certification,surface,Rented,7,1765
590,Johnny Rose,1961-02-19,2002-08-06,198067,Press photographer,Single,Baker-Black,develop,14430,26487,37,EMI Running,Lake Meganfurt,Wisconsin,78292,Hudsonshire,Vermont,9.91,True,No,difference,641,Fischer-Choi,Coleman PLC,1974-10-23,31,Education loan,School Education,during,Owned,15,1474
591,Paul Boyd,1997-03-22,1961-06-05,49203,Event organiser,Single,Barrett-Sanchez,financial,29948,6973,149,Fully Disbursed,West Jonathanbury,West Virginia,99438,East Carrie,North Carolina,17.49,True,Yes,agency,480,"Morse, Garrett and Cunningham",Mills Inc,1980-07-23,30,Education loan,School Education,thing,Rented,11,1271
592,Jason Hensley,2001-04-02,1960-09-11,80102,Community pharmacist,Married,Hunter LLC,accept,29993,11217,41,Fully Disbursed,Lake Amanda,Idaho,63462,Danielstad,Oklahoma,19.49,True,Yes,stay,368,"Williams, Brown and Roberson",Saunders Group,1984-08-09,4,Education loan,College education,production,Owned,19,1972
593,Jessica Lewis,2004-01-04,1994-09-10,62974,Higher education careers adviser,Single,Burton and Sons,fine,14093,34218,120,Fully Disbursed,Josephchester,California,58497,Lake Elizabeth,New Mexico,16.74,False,No,develop,419,"Brennan, Ramirez and Duncan",Hart and Sons,2013-12-24,8,Education loan,College education,though,Rented,2,4366
594,Tracey Ross,1997-10-22,1998-12-09,75985,Insurance broker,Single,Haynes-Graham,answer,40861,14948,227,EMI Running,Masonshire,Alaska,23665,Lindseystad,Oklahoma,12.37,False,Yes,personal,849,"Meadows, Woods and Howard",Davis-York,2012-01-16,9,Education loan,College education,perhaps,Rented,7,2657
595,Cesar Bailey,1978-10-04,2001-12-27,140070,Geoscientist,Single,Parker and Sons,pressure,41121,27039,111,Fully Disbursed,Johnsonville,Oklahoma,29801,Prestonburgh,New Mexico,9.12,True,No,PM,351,"Miles, Campbell and Mitchell","Moss, Carey and George",1998-08-25,25,Education loan,College education,foreign,Owned,8,2186
596,James Dyer MD,1975-04-21,2004-04-04,154522,Immunologist,Divorced,Thomas Ltd,Mrs,22972,13278,259,EMI Running,Stephenmouth,Mississippi,34743,Mcfarlandhaven,Mississippi,6.19,True,No,writer,453,Watson-Turner,Pennington-Smith,2019-09-14,31,Education loan,Certification,police,Rented,2,4296
597,Margaret Patterson,1968-10-13,1965-08-29,62549,Television floor manager,Single,Ryan Ltd,practice,29794,6753,276,EMI Running,Jeffreymouth,Florida,39879,West Cameronfort,North Dakota,9.51,False,Yes,store,346,Johnson and Sons,White-Hill,2001-05-04,1,Education loan,Certification,method,Rented,13,1425
598,Virginia Gutierrez,1993-09-04,2002-04-18,86757,Radio broadcast assistant,Divorced,Johnson and Sons,system,24192,31848,287,EMI Running,Port Paul,Alaska,84254,New Megan,Indiana,8.01,True,No,onto,676,"Johnson, Alvarado and Bailey","Rodriguez, Thomas and Miller",2014-05-09,21,Education loan,College education,difference,Rented,21,3829
599,James Lowery,1989-03-17,1990-02-25,188843,Diplomatic Services operational officer,Single,Pena-Santiago,poor,19548,27092,164,EMI Running,Smithburgh,North Dakota,66731,New Bryan,Delaware,19.23,False,No,you,714,"Compton, Diaz and Ramirez",Rose-Newman,1980-03-22,37,Education loan,Certification,reduce,Rented,28,1720
600,Jeff Butler,2004-06-25,1974-09-13,189715,Soil scientist,Divorced,Murphy Group,baby,44970,11228,110,EMI Running,Lynnport,Vermont,83657,East Andrew,New Mexico,17.75,True,No,significant,648,Woods-Taylor,"Yates, Anderson and Davis",1977-10-14,39,Education loan,Certification,your,Owned,21,2998
601,Amanda Hernandez,2000-03-09,1988-10-18,173699,"Engineer, manufacturing",Single,Martin Group,base,29913,20017,8,EMI Running,Port Jessicaberg,Tennessee,25857,Katherinebury,Pennsylvania,19.43,True,No,discussion,545,"Garcia, Marshall and Reilly",King-Murphy,1971-05-18,14,Education loan,School Education,hand,Rented,23,3175
602,Daniel Franklin,1984-08-15,1982-03-30,42215,English as a second language teacher,Divorced,Dunlap LLC,lot,17741,37339,155,Fully Disbursed,New Katherinetown,Pennsylvania,87961,South Ronald,Washington,5.22,False,Yes,foreign,824,"Ward, Williams and Dyer","Schultz, Preston and Lawson",1986-12-07,20,Education loan,School Education,sit,Rented,12,1887
603,Alexandra Glover,2004-09-12,1992-04-16,158078,Cartographer,Married,Harper Ltd,spend,5697,25618,155,Fully Disbursed,South Ashley,Ohio,29939,Crawfordberg,Michigan,12.87,True,No,practice,704,Bennett Ltd,Burke-Davis,1995-11-15,9,Education loan,Certification,room,Rented,24,3298
604,William Chapman,1987-12-17,1982-11-02,152804,Radio broadcast assistant,Divorced,Hicks-Carlson,expect,28312,4753,147,Fully Disbursed,Jonathanstad,Idaho,02840,Lake Laurahaven,South Carolina,11.79,False,No,full,727,Hall Ltd,Tucker-Poole,2019-05-18,31,Education loan,Certification,sport,Owned,26,1011
605,Lynn Everett,1998-03-14,1984-05-18,139361,Marketing executive,Married,"Davis, Bautista and Watkins",major,20826,39557,116,Fully Disbursed,Lancestad,California,63466,New Amyside,Arizona,8.87,False,No,seven,585,Perkins PLC,Lee LLC,2011-06-18,7,Education loan,Certification,song,Rented,9,1680
606,Heather Bates,1989-09-20,1971-05-02,127734,Civil Service administrator,Divorced,"Maynard, Thompson and Davis",pretty,40431,12337,159,EMI Running,North Deanna,Ohio,33751,Snowmouth,Vermont,8.03,True,Yes,while,318,Garcia Ltd,"Lopez, Johnson and Woods",1991-01-26,37,Education loan,Certification,certain,Rented,17,1075
607,Kevin Cruz,1976-09-02,1981-05-30,131236,"Loss adjuster, chartered",Married,"Christian, Kelley and Greene",doctor,15951,37203,194,Fully Disbursed,North Christopher,West Virginia,44570,Lake Joseph,Tennessee,10.49,True,No,by,839,"Weaver, Mclaughlin and Rose",Robinson-Richmond,1985-04-04,22,Education loan,School Education,medical,Owned,8,3658
608,Anna Cohen,1986-08-20,1982-05-09,25294,Fish farm manager,Married,"Clark, Newman and Hensley",among,19640,21914,27,EMI Running,East David,Texas,02656,South Briannachester,Indiana,9.1,False,No,view,519,Gutierrez PLC,Torres-Chavez,2014-09-08,9,Education loan,Certification,some,Rented,24,4503
609,William Reynolds,2004-06-28,1967-03-28,139962,Geochemist,Divorced,Blackwell Inc,million,18755,31037,119,Fully Disbursed,Jamesborough,Colorado,11625,Starkmouth,Texas,7.28,False,No,first,587,Matthews-Hodges,Herrera-Tran,2006-02-21,25,Education loan,College education,whole,Owned,26,3920
610,Andrew Thompson,1971-05-16,1996-10-13,83365,Science writer,Married,"Bowers, Bautista and Roberts",camera,12461,34601,275,Fully Disbursed,Lake Barbarastad,Missouri,89885,Tamaramouth,Tennessee,5.81,False,No,pull,312,"Garrison, Dennis and Gates",Wright-Holder,1993-11-19,31,Education loan,School Education,whether,Owned,19,4288
611,Gabriel Evans,1986-03-16,1970-07-16,84297,"Editor, film/video",Single,Hall-Romero,everyone,15454,29901,39,EMI Running,West Brittney,South Carolina,40032,New Jessicachester,North Dakota,10.9,False,No,born,806,Sanchez and Sons,Henry-Flores,1981-01-14,12,Education loan,Certification,the,Rented,27,1323
612,Timothy Jordan,1990-08-11,1963-08-12,24847,"Engineer, chemical",Married,Rubio-Graves,fish,41305,25435,129,EMI Running,Mitchellshire,Georgia,37798,North Bobton,Arkansas,16.04,False,Yes,put,794,Blake and Sons,Jefferson-Mills,1974-02-04,38,Education loan,Certification,alone,Owned,8,2124
613,Anthony Munoz,1975-03-09,1975-10-08,147341,Retail banker,Single,Aguilar Inc,data,25674,30287,76,EMI Running,South Jamesstad,California,01580,Keithberg,Oregon,17.17,True,No,individual,310,"Stewart, Garcia and Peterson",Harris-Adams,1983-02-20,38,Education loan,Certification,market,Owned,9,3825
614,Laura Hoover,2001-01-26,1971-11-19,133797,Forest/woodland manager,Divorced,Cole PLC,education,41370,30980,356,EMI Running,Lake Mollymouth,Wisconsin,97306,West Carmen,Wisconsin,19.21,True,No,of,881,"Pearson, Gonzalez and Walls","Shepherd, Alvarez and Gibson",1992-01-15,35,Education loan,School Education,above,Rented,8,2182
615,Terri Christensen,1986-07-22,2006-01-09,148033,Music therapist,Single,Alvarez PLC,owner,46034,13403,107,EMI Running,Lake Elijahton,Virginia,79320,Trevorton,Arkansas,19.88,True,Yes,wide,430,"Carr, Morrison and Barnes",Kane-Jordan,1998-08-13,24,Education loan,Certification,nation,Rented,6,2223
616,Kevin Rivera,1963-04-30,1990-01-20,112156,Operational researcher,Single,Gutierrez-White,foreign,16558,21629,49,EMI Running,Kathrynton,Mississippi,77455,East Garyside,Louisiana,17.25,False,Yes,black,889,Mercado and Sons,"Daniel, Adams and Rodgers",2010-12-15,35,Education loan,College education,city,Owned,9,2530
617,Tracey Mendez,1998-10-09,1959-03-18,104677,"Administrator, sports",Married,Good PLC,however,38936,10349,69,Fully Disbursed,Tracyville,Alaska,04642,New Kimberly,Minnesota,10.62,False,No,election,538,Cole-Lopez,Rios-Jackson,1988-10-02,38,Education loan,College education,three,Owned,22,3873
618,Karen Johnston,1961-02-08,1973-04-19,157793,"Development worker, international aid",Single,West-Anderson,himself,44648,9722,81,Fully Disbursed,Port Josephshire,Vermont,19786,Torresshire,California,8.34,True,Yes,man,735,Bradley Ltd,Wilson-Burnett,1971-08-04,15,Education loan,Certification,responsibility,Rented,29,1325
619,Megan Barajas,2003-07-27,1998-10-22,36934,Lexicographer,Single,Branch Group,dinner,22870,35452,298,Fully Disbursed,Brianville,Kansas,31764,Tylerburgh,South Carolina,6.18,False,Yes,follow,867,"West, Evans and Harris","Garcia, Walker and Evans",2018-06-18,5,Education loan,School Education,focus,Rented,4,4450
620,Alan Smith,2006-03-15,2002-04-21,121337,Social researcher,Divorced,"Brooks, Jackson and Murphy",form,42675,4303,164,Fully Disbursed,Aliciatown,Wisconsin,79206,Deniseville,Oregon,19.12,False,Yes,never,793,Sherman PLC,Ford-Graham,2009-05-28,15,Education loan,Certification,box,Owned,26,4188
621,Scott Guzman,1960-12-10,1972-03-13,152280,Technical sales engineer,Married,"Anthony, Walters and Hoffman",style,11647,21822,137,Fully Disbursed,Smithborough,Indiana,40552,East Timothy,Pennsylvania,19.73,True,No,reflect,678,"Daniels, Ewing and Payne","Carter, Wilson and Bautista",2023-08-09,3,Education loan,Certification,on,Owned,5,3231
622,Christian Coleman,1974-10-14,1989-12-08,161911,Conference centre manager,Divorced,Mckenzie-Bradshaw,sort,31039,36545,158,EMI Running,East Anthonyside,New York,22056,Melissahaven,Montana,12.29,False,No,with,826,Weaver-Perez,Bond-Sanders,2021-02-14,23,Education loan,School Education,weight,Rented,26,1573
623,Mrs. Erin Jones,1983-08-21,1966-07-04,98441,Research scientist (medical),Married,"Clements, Sanchez and Thompson",resource,48656,11859,86,Fully Disbursed,Derekmouth,Kentucky,98532,Johnchester,Oregon,16.3,False,No,friend,896,"Acosta, Monroe and Christian",Nichols-Hall,1970-06-11,35,Education loan,School Education,edge,Owned,24,4282
